 (2.5138-0.8978j), (nan+nanj), (0.3595+0.1964j), (nan+nanj), (-0.0339+0.0233j)
 (2.5156-0.8898j), (nan+nanj), (0.3584+0.1947j), (nan+nanj), (-0.0341+0.0232j)
 (2.5182-0.8818j), (nan+nanj), (0.3574+0.1928j), (nan+nanj), (-0.0343+0.0230j)
 (2.5214-0.8738j), (nan+nanj), (0.3565+0.1909j), (nan+nanj), (-0.0345+0.0229j)
 (2.5252-0.8660j), (nan+nanj), (0.3559+0.1889j), (nan+nanj), (-0.0346+0.0227j)
 (2.5296-0.8585j), (nan+nanj), (0.3554+0.1869j), (nan+nanj), (-0.0347+0.0225j)
 (2.5344-0.8515j), (nan+nanj), (0.3551+0.1849j), (nan+nanj), (-0.0348+0.0223j)
 (2.5396-0.8451j), (nan+nanj), (0.3550+0.1829j), (nan+nanj), (-0.0349+0.0221j)
 (2.5451-0.8394j), (nan+nanj), (0.3551+0.1811j), (nan+nanj), (-0.0349+0.0218j)
 (2.5508-0.8345j), (nan+nanj), (0.3554+0.1794j), (nan+nanj), (-0.0349+0.0216j)
 (2.5567-0.8304j), (nan+nanj), (0.3558+0.1778j), (nan+nanj), (-0.0349+0.0214j)
 (2.5626-0.8273j), (nan+nanj), (0.3564+0.1764j), (nan+nanj), (-0.0349+0.0212j)
 (2.5684-0.8252j), (nan+nanj), (0.3572+0.1752j), (nan+nanj), (-0.0348+0.0210j)
 (2.5741-0.8241j), (nan+nanj), (0.3581+0.1743j), (nan+nanj), (-0.0347+0.0208j)
 (2.5795-0.8241j), (nan+nanj), (0.3591+0.1735j), (nan+nanj), (-0.0345+0.0206j)
 (2.5846-0.8251j), (nan+nanj), (0.3602+0.1730j), (nan+nanj), (-0.0344+0.0205j)
 (2.5893-0.8271j), (nan+nanj), (0.3614+0.1728j), (nan+nanj), (-0.0342+0.0204j)
 (2.5935-0.8301j), (nan+nanj), (0.3627+0.1727j), (nan+nanj), (-0.0340+0.0203j)
 (2.5972-0.8341j), (nan+nanj), (0.3640+0.1730j), (nan+nanj), (-0.0339+0.0202j)
 (2.6003-0.8389j), (nan+nanj), (0.3653+0.1734j), (nan+nanj), (-0.0337+0.0202j)
 (2.6027-0.8444j), (nan+nanj), (0.3666+0.1740j), (nan+nanj), (-0.0335+0.0201j)
 (2.6043-0.8507j), (nan+nanj), (0.3679+0.1749j), (nan+nanj), (-0.0333+0.0202j)
